imgt,tenx,adaptive,adaptivev2
TRAC*01,TRAC,NoData,NoData
TRAJ1*01,TRAJ1,TCRAJ01-01*01,TCRAJ01-01*01
TRAJ10*01,TRAJ10,TCRAJ10-01*01,TCRAJ10-01*01
TRAJ11*01,TRAJ11,TCRAJ11-01*01,TCRAJ11-01*01
TRAJ12*01,TRAJ12,TCRAJ12-01*01,TCRAJ12-01*01
TRAJ13*01,TRAJ13,TCRAJ13-01*01,TCRAJ13-01*01
TRAJ13*02,TRAJ13,TCRAJ13-01*02,TCRAJ13-01*02
TRAJ14*01,TRAJ14,TCRAJ14-01*01,TCRAJ14-01*01
TRAJ15*01,TRAJ15,TCRAJ15-01*01,TCRAJ15-01*01
TRAJ15*02,TRAJ15,TCRAJ15-01*02,TCRAJ15-01*02
TRAJ16*01,TRAJ16,TCRAJ16-01*01,TCRAJ16-01*01
TRAJ16*02,TRAJ16,TCRAJ16-01*02,TCRAJ16-01*02
TRAJ17*01,TRAJ17,TCRAJ17-01*01,TCRAJ17-01*01
TRAJ18*01,TRAJ18,TCRAJ18-01*01,TCRAJ18-01*01
TRAJ19*01,TRAJ19,TCRAJ19-01*01,TCRAJ19-01*01
TRAJ2*01,TRAJ2,TCRAJ02-01*01,TCRAJ02-01*01
TRAJ20*01,TRAJ20,TCRAJ20-01*01,TCRAJ20-01*01
TRAJ21*01,TRAJ21,TCRAJ21-01*01,TCRAJ21-01*01
TRAJ22*01,TRAJ22,TCRAJ22-01*01,TCRAJ22-01*01
TRAJ23*01,TRAJ23,TCRAJ23-01*01,TCRAJ23-01*01
TRAJ23*02,TRAJ23,TCRAJ23-01*02,TCRAJ23-01*02
TRAJ24*01,TRAJ24,TCRAJ24-01*01,TCRAJ24-01*01
TRAJ24*02,TRAJ24,TCRAJ24-01*02,TCRAJ24-01*02
TRAJ24*03,TRAJ24,TCRAJ24-01*03,TCRAJ24-01*03
TRAJ25*01,TRAJ25,TCRAJ25-01*01,TCRAJ25-01*01
TRAJ26*01,TRAJ26,TCRAJ26-01*01,TCRAJ26-01*01
TRAJ27*01,TRAJ27,TCRAJ27-01*01,TCRAJ27-01*01
TRAJ28*01,TRAJ28,TCRAJ28-01*01,TCRAJ28-01*01
TRAJ29*01,TRAJ29,TCRAJ29-01*01,TCRAJ29-01*01
TRAJ3*01,TRAJ3,TCRAJ03-01*01,TCRAJ03-01*01
TRAJ30*01,TRAJ30,TCRAJ30-01*01,TCRAJ30-01*01
TRAJ31*01,TRAJ31,TCRAJ31-01*01,TCRAJ31-01*01
TRAJ32*01,TRAJ32,TCRAJ32-01*01,TCRAJ32-01*01
TRAJ32*02,TRAJ32,TCRAJ32-01*02,TCRAJ32-01*02
TRAJ33*01,TRAJ33,TCRAJ33-01*01,TCRAJ33-01*01
TRAJ34*01,TRAJ34,TCRAJ34-01*01,TCRAJ34-01*01
TRAJ35*01,TRAJ35,TCRAJ35-01*01,TCRAJ35-01*01
TRAJ36*01,TRAJ36,TCRAJ36-01*01,TCRAJ36-01*01
TRAJ37*01,TRAJ37,TCRAJ37-01*01,TCRAJ37-01*01
TRAJ37*02,TRAJ37,TCRAJ37-01*02,TCRAJ37-01*02
TRAJ38*01,TRAJ38,TCRAJ38-01*01,TCRAJ38-01*01
TRAJ39*01,TRAJ39,TCRAJ39-01*01,TCRAJ39-01*01
TRAJ4*01,TRAJ4,TCRAJ04-01*01,TCRAJ04-01*01
TRAJ40*01,TRAJ40,TCRAJ40-01*01,TCRAJ40-01*01
TRAJ41*01,TRAJ41,TCRAJ41-01*01,TCRAJ41-01*01
TRAJ42*01,TRAJ42,TCRAJ42-01*01,TCRAJ42-01*01
TRAJ43*01,TRAJ43,TCRAJ43-01*01,TCRAJ43-01*01
TRAJ44*01,TRAJ44,TCRAJ44-01*01,TCRAJ44-01*01
TRAJ45*01,TRAJ45,TCRAJ45-01*01,TCRAJ45-01*01
TRAJ46*01,TRAJ46,TCRAJ46-01*01,TCRAJ46-01*01
TRAJ47*01,TRAJ47,TCRAJ47-01*01,TCRAJ47-01*01
TRAJ47*02,TRAJ47,TCRAJ47-01*02,TCRAJ47-01*02
TRAJ48*01,TRAJ48,TCRAJ48-01*01,TCRAJ48-01*01
TRAJ49*01,TRAJ49,TCRAJ49-01*01,TCRAJ49-01*01
TRAJ5*01,TRAJ5,TCRAJ05-01*01,TCRAJ05-01*01
TRAJ50*01,TRAJ50,TCRAJ50-01*01,TCRAJ50-01*01
TRAJ51*01,TRAJ51,TCRAJ51-01*01,TCRAJ51-01*01
TRAJ52*01,TRAJ52,TCRAJ52-01*01,TCRAJ52-01*01
TRAJ53*01,TRAJ53,TCRAJ53-01*01,TCRAJ53-01*01
TRAJ54*01,TRAJ54,TCRAJ54-01*01,TCRAJ54-01*01
TRAJ55*01,TRAJ55,TCRAJ55-01*01,TCRAJ55-01*01
TRAJ56*01,TRAJ56,TCRAJ56-01*01,TCRAJ56-01*01
TRAJ57*01,TRAJ57,TCRAJ57-01*01,TCRAJ57-01*01
TRAJ58*01,TRAJ58,TCRAJ58-01*01,TCRAJ58-01*01
TRAJ59*01,TRAJ59,TCRAJ59-01*01,TCRAJ59-01*01
TRAJ6*01,TRAJ6,TCRAJ06-01*01,TCRAJ06-01*01
TRAJ60*01,TRAJ60,TCRAJ60-01*01,TCRAJ60-01*01
TRAJ61*01,TRAJ61,TCRAJ61-01*01,TCRAJ61-01*01
TRAJ7*01,TRAJ7,TCRAJ07-01*01,TCRAJ07-01*01
TRAJ8*01,TRAJ8,TCRAJ08-01*01,TCRAJ08-01*01
TRAJ8*02,TRAJ8,TCRAJ08-01*02,TCRAJ08-01*02
TRAJ9*01,TRAJ9,TCRAJ09-01*01,TCRAJ09-01*01
TRAV1-1*01,TRAV1-1,TCRAV01-01*01,TCRAV01-01*01
TRAV1-1*02,TRAV1-1,TCRAV01-01*02,TCRAV01-01*02
TRAV1-2*01,TRAV1-2,TCRAV01-02*01,TCRAV01-02*01
TRAV1-2*02,TRAV1-2,TCRAV01-02*02,TCRAV01-02*02
TRAV1-2*03,TRAV1-2,TCRAV01-02*03,TCRAV01-02*03
TRAV10*01,TRAV10,TCRAV10-01*01,TCRAV10-01*01
TRAV10*02,TRAV10,TCRAV10-01*02,TCRAV10-01*02
TRAV11*01,TRAV11,TCRAV11-01*01,TCRAV11-01*01
TRAV11-1*01,TRAV11-1,TCRAV11-01*01,TCRAV11-01*01
TRAV12-1*01,TRAV12-1,TCRAV12-01*01,TCRAV12-01*01
TRAV12-1*02,TRAV12-1,TCRAV12-01*02,TCRAV12-01*02
TRAV12-2*01,TRAV12-2,TCRAV12-02*01,TCRAV12-02*01
TRAV12-2*02,TRAV12-2,TCRAV12-02*02,TCRAV12-02*02
TRAV12-2*03,TRAV12-2,TCRAV12-02*03,TCRAV12-02*03
TRAV12-3*01,TRAV12-3,TCRAV12-03*01,TCRAV12-03*01
TRAV12-3*02,TRAV12-3,TCRAV12-03*02,TCRAV12-03*02
TRAV13-1*01,TRAV13-1,TCRAV13-01*01,TCRAV13-01*01
TRAV13-1*02,TRAV13-1,TCRAV13-01*02,TCRAV13-01*02
TRAV13-1*03,TRAV13-1,TCRAV13-01*03,TCRAV13-01*03
TRAV13-2*01,TRAV13-2,TCRAV13-02*01,TCRAV13-02*01
TRAV13-2*02,TRAV13-2,TCRAV13-02*02,TCRAV13-02*02
TRAV14-1*01,TRAV14-1,TCRAV14-01*01,TCRAV14-01*01
TRAV14-1*02,TRAV14-1,TCRAV14-01*02,TCRAV14-01*02
TRAV14/DV4*01,TRAV14/DV4,TCRAV14-01*01,TCRAV14-01*01
TRAV14/DV4*02,TRAV14/DV4,TCRAV14-01*02,TCRAV14-01*02
TRAV14/DV4*03,TRAV14/DV4,TCRAV14-01*03,TCRAV14-01*03
