imgt,tenx,adaptive,adaptivev2
TRAC*01,TRAC,NoData,NoData
TRAC*02,TRAC,NoData,NoData
TRAJ1*01,TRAJ1,TCRAJ01-01*01,TCRAJ01-01*01
TRAJ10*01,TRAJ10,TCRAJ10-01*01,TCRAJ10-01*01
TRAJ11*01,TRAJ11,TCRAJ11-01*01,TCRAJ11-01*01
TRAJ12*01,TRAJ12,TCRAJ12-01*01,TCRAJ12-01*01
TRAJ12*02,TRAJ12,TCRAJ12-01*02,TCRAJ12-01*02
TRAJ13*01,TRAJ13,TCRAJ13-01*01,TCRAJ13-01*01
TRAJ14*01,TRAJ14,TCRAJ14-01*01,TCRAJ14-01*01
TRAJ15*01,TRAJ15,TCRAJ15-01*01,TCRAJ15-01*01
TRAJ15*02,TRAJ15,TCRAJ15-01*02,TCRAJ15-01*02
TRAJ16*01,TRAJ16,TCRAJ16-01*01,TCRAJ16-01*01
TRAJ17*01,TRAJ17,TCRAJ17-01*01,TCRAJ17-01*01
TRAJ18*01,TRAJ18,TCRAJ18-01*01,TCRAJ18-01*01
TRAJ19*01,TRAJ19,TCRAJ19-01*01,TCRAJ19-01*01
TRAJ19*02,TRAJ19,TCRAJ19-01*02,TCRAJ19-01*02
TRAJ2*01,TRAJ2,TCRAJ02-01*01,TCRAJ02-01*01
TRAJ2*02,TRAJ2,TCRAJ02-01*02,TCRAJ02-01*02
TRAJ20*01,TRAJ20,TCRAJ20-01*01,TCRAJ20-01*01
TRAJ20*02,TRAJ20,TCRAJ20-01*02,TCRAJ20-01*02
TRAJ21*01,TRAJ21,TCRAJ21-01*01,TCRAJ21-01*01
TRAJ22*01,TRAJ22,TCRAJ22-01*01,TCRAJ22-01*01
TRAJ22*02,TRAJ22,TCRAJ22-01*02,TCRAJ22-01*02
TRAJ23*01,TRAJ23,TCRAJ23-01*01,TCRAJ23-01*01
TRAJ24*01,TRAJ24,TCRAJ24-01*01,TCRAJ24-01*01
TRAJ25*01,TRAJ25,TCRAJ25-01*01,TCRAJ25-01*01
TRAJ26*01,TRAJ26,TCRAJ26-01*01,TCRAJ26-01*01
TRAJ26*02,TRAJ26,TCRAJ26-01*02,TCRAJ26-01*02
TRAJ27*01,TRAJ27,TCRAJ27-01*01,TCRAJ27-01*01
TRAJ28*01,TRAJ28,TCRAJ28-01*01,TCRAJ28-01*01
TRAJ29*01,TRAJ29,TCRAJ29-01*01,TCRAJ29-01*01
TRAJ3*01,TRAJ3,TCRAJ03-01*01,TCRAJ03-01*01
TRAJ30*01,TRAJ30,TCRAJ30-01*01,TCRAJ30-01*01
TRAJ31*01,TRAJ31,TCRAJ31-01*01,TCRAJ31-01*01
TRAJ32*01,TRAJ32,TCRAJ32-01*01,TCRAJ32-01*01
TRAJ32*02,TRAJ32,TCRAJ32-01*02,TCRAJ32-01*02
TRAJ33*01,TRAJ33,TCRAJ33-01*01,TCRAJ33-01*01
TRAJ34*01,TRAJ34,TCRAJ34-01*01,TCRAJ34-01*01
TRAJ34*02,TRAJ34,TCRAJ34-01*02,TCRAJ34-01*02
TRAJ35*01,TRAJ35,TCRAJ35-01*01,TCRAJ35-01*01
TRAJ35*02,TRAJ35,TCRAJ35-01*02,TCRAJ35-01*02
TRAJ36*01,TRAJ36,TCRAJ36-01*01,TCRAJ36-01*01
TRAJ37*01,TRAJ37,TCRAJ37-01*01,TCRAJ37-01*01
TRAJ38*01,TRAJ38,TCRAJ38-01*01,TCRAJ38-01*01
TRAJ39*01,TRAJ39,TCRAJ39-01*01,TCRAJ39-01*01
TRAJ4*01,TRAJ4,TCRAJ04-01*01,TCRAJ04-01*01
TRAJ40*01,TRAJ40,TCRAJ40-01*01,TCRAJ40-01*01
TRAJ41*01,TRAJ41,TCRAJ41-01*01,TCRAJ41-01*01
TRAJ42*01,TRAJ42,TCRAJ42-01*01,TCRAJ42-01*01
TRAJ42*02,TRAJ42,TCRAJ42-01*02,TCRAJ42-01*02
TRAJ43*01,TRAJ43,TCRAJ43-01*01,TCRAJ43-01*01
TRAJ44*01,TRAJ44,TCRAJ44-01*01,TCRAJ44-01*01
TRAJ44*02,TRAJ44,TCRAJ44-01*02,TCRAJ44-01*02
TRAJ45*01,TRAJ45,TCRAJ45-01*01,TCRAJ45-01*01
TRAJ45*02,TRAJ45,TCRAJ45-01*02,TCRAJ45-01*02
TRAJ46*01,TRAJ46,TCRAJ46-01*01,TCRAJ46-01*01
TRAJ47*01,TRAJ47,TCRAJ47-01*01,TCRAJ47-01*01
TRAJ48*01,TRAJ48,TCRAJ48-01*01,TCRAJ48-01*01
TRAJ49*01,TRAJ49,TCRAJ49-01*01,TCRAJ49-01*01
TRAJ49*02,TRAJ49,TCRAJ49-01*02,TCRAJ49-01*02
