adaptive,adaptivev2,imgt,tenx
TCRAJ01,TCRAJ01,TRAJ1*01,TRAJ1
TCRAJ01*01,TCRAJ01*01,TRAJ1*01,TRAJ1
TCRAJ01-01,TCRAJ01-01,TRAJ1*01,TRAJ1
TCRAJ01-01*01,TCRAJ01-01*01,TRAJ1*01,TRAJ1
TCRAJ02,TCRAJ02,TRAJ2*01,TRAJ2
TCRAJ02*01,TCRAJ02*01,TRAJ2*01,TRAJ2
TCRAJ02*02,TCRAJ02*02,TRAJ2*02,TRAJ2
TCRAJ02-01,TCRAJ02-01,TRAJ2*01,TRAJ2
TCRAJ02-01*01,TCRAJ02-01*01,TRAJ2*01,TRAJ2
TCRAJ02-01*02,TCRAJ02-01*02,TRAJ2*02,TRAJ2
TCRAJ03,TCRAJ03,TRAJ3*01,TRAJ3
TCRAJ03*01,TCRAJ03*01,TRAJ3*01,TRAJ3
TCRAJ03-01,TCRAJ03-01,TRAJ3*01,TRAJ3
TCRAJ03-01*01,TCRAJ03-01*01,TRAJ3*01,TRAJ3
TCRAJ04,TCRAJ04,TRAJ4*01,TRAJ4
TCRAJ04*01,TCRAJ04*01,TRAJ4*01,TRAJ4
TCRAJ04-01,TCRAJ04-01,TRAJ4*01,TRAJ4
TCRAJ04-01*01,TCRAJ04-01*01,TRAJ4*01,TRAJ4
TCRAJ05,TCRAJ05,TRAJ5*01,TRAJ5
TCRAJ05*01,TCRAJ05*01,TRAJ5*01,TRAJ5
TCRAJ05-01,TCRAJ05-01,TRAJ5*01,TRAJ5
TCRAJ05-01*01,TCRAJ05-01*01,TRAJ5*01,TRAJ5
TCRAJ06,TCRAJ06,TRAJ6*01,TRAJ6
TCRAJ06*01,TCRAJ06*01,TRAJ6*01,TRAJ6
TCRAJ06-01,TCRAJ06-01,TRAJ6*01,TRAJ6
TCRAJ06-01*01,TCRAJ06-01*01,TRAJ6*01,TRAJ6
TCRAJ07,TCRAJ07,TRAJ7*01,TRAJ7
TCRAJ07*01,TCRAJ07*01,TRAJ7*01,TRAJ7
TCRAJ07-01,TCRAJ07-01,TRAJ7*01,TRAJ7
TCRAJ07-01*01,TCRAJ07-01*01,TRAJ7*01,TRAJ7
TCRAJ08,TCRAJ08,TRAJ8*01,TRAJ8
TCRAJ08*01,TCRAJ08*01,TRAJ8*01,TRAJ8
TCRAJ08-01,TCRAJ08-01,TRAJ8*01,TRAJ8
TCRAJ08-01*01,TCRAJ08-01*01,TRAJ8*01,TRAJ8
TCRAJ09,TCRAJ09,TRAJ9*01,TRAJ9
TCRAJ09*01,TCRAJ09*01,TRAJ9*01,TRAJ9
TCRAJ09-01,TCRAJ09-01,TRAJ9*01,TRAJ9
TCRAJ09-01*01,TCRAJ09-01*01,TRAJ9*01,TRAJ9
TCRAJ10,TCRAJ10,TRAJ10*01,TRAJ10
TCRAJ10*01,TCRAJ10*01,TRAJ10*01,TRAJ10
TCRAJ10-01,TCRAJ10-01,TRAJ10*01,TRAJ10
TCRAJ10-01*01,TCRAJ10-01*01,TRAJ10*01,TRAJ10
TCRAJ11,TCRAJ11,TRAJ11*01,TRAJ11
TCRAJ11*01,TCRAJ11*01,TRAJ11*01,TRAJ11
TCRAJ11-01,TCRAJ11-01,TRAJ11*01,TRAJ11
TCRAJ11-01*01,TCRAJ11-01*01,TRAJ11*01,TRAJ11
TCRAJ12,TCRAJ12,TRAJ12*01,TRAJ12
TCRAJ12*01,TCRAJ12*01,TRAJ12*01,TRAJ12
TCRAJ12*02,TCRAJ12*02,TRAJ12*02,TRAJ12
TCRAJ12-01,TCRAJ12-01,TRAJ12*01,TRAJ12
TCRAJ12-01*01,TCRAJ12-01*01,TRAJ12*01,TRAJ12
TCRAJ12-01*02,TCRAJ12-01*02,TRAJ12*02,TRAJ12
TCRAJ13,TCRAJ13,TRAJ13*01,TRAJ13
TCRAJ13*01,TCRAJ13*01,TRAJ13*01,TRAJ13
TCRAJ13-01,TCRAJ13-01,TRAJ13*01,TRAJ13
TCRAJ13-01*01,TCRAJ13-01*01,TRAJ13*01,TRAJ13
TCRAJ14,TCRAJ14,TRAJ14*01,TRAJ14
TCRAJ14*01,TCRAJ14*01,TRAJ14*01,TRAJ14
TCRAJ14-01,TCRAJ14-01,TRAJ14*01,TRAJ14
TCRAJ14-01*01,TCRAJ14-01*01,TRAJ14*01,TRAJ14
