imgt,tenx,adaptive,adaptivev2
TRAC*01,TRAC,NoData,NoData
TRAV1-1*01,TRAV1-1,TCRAV01-01*01,TCRAV01-01*01
TRAV1-1*02,TRAV1-1,TCRAV01-01*02,TCRAV01-01*02
TRAV1-2*01,TRAV1-2,TCRAV01-02*01,TCRAV01-02*01
TRAV14/DV4*01,TRAV14/DV4,TCRAV14-01*01,TCRAV14-01*01
TRAV38-1*01,TRAV38-1,TCRAV38-01*01,TCRAV38-01*01
TRAV38-2/DV8*01,TRAV38-2/DV8,TCRAV38-02*01,TCRAV38-02*01
TRBV29-1*01,TRBV29-1,TCRBV29-01*01,TCRBV29-01*01
TRBV29-1*02,TRBV29-1,TCRBV29-01*02,TCRBV29-01*02
TRBV29/OR9-2*01,TRBV29/OR9-2,TCRBV29-or09_02*01,TCRBV29-or09_02*01
