"adaptive","adaptivev2","imgt","tenx"
"TCRAV01-01*01","TCRAV01-01*01","TRAV1-1*01","TRAV1-1"
"TCRAV01-01*02","TCRAV01-01*02","TRAV1-1*02","TRAV1-1"
"TCRAV14-01*01","TCRAV14-01*01","TRAV14/DV4*01","TRAV14DV4"
"TCRAV38-02*01","TCRAV38-02*01","TRAV38-2/DV8*01","TRAV38-2DV8"
"TCRBV29-or09_02*01","TCRBV29-or09_02*01","TRBV29/OR9-2*01","TRBV29/OR9-2"
"TCRBVA-or09_02*01","TCRBVA-or09_02*01","TRBVA/OR9-2*01","TRBVA/OR9-2"
"TCRAV01-01","TCRAV01-01","TRAV1-1*01","TRAV1-1"
"TCRAV14-01","TCRAV14-01","TRAV14/DV4*01","TRAV14DV4"
"TCRAV38-02","TCRAV38-02","TRAV38-2/DV8*01","TRAV38-2DV8"
"TCRBV29-or09_02","TCRBV29-or09_02","TRBV29/OR9-2*01","TRBV29/OR9-2"
"TCRBVA-or09_02","TCRBVA-or09_02","TRBVA/OR9-2*01","TRBVA/OR9-2"
