,imgt,tenx,adaptive,adaptive_v2
0,TRAJ1*01,TRAJ1,TCRAJ01*01,TCRAJ01*01
1,TRAJ10*01,TRAJ10,TCRAJ10*01,TCRAJ10*01
2,TRAJ11*01,TRAJ11,TCRAJ11*01,TCRAJ11*01
3,TRAJ12*01,TRAJ12,TCRAJ12*01,TCRAJ12*01
4,TRAJ13*01,TRAJ13,TCRAJ13*01,TCRAJ13*01
5,TRAJ13*02,TRAJ13,TCRAJ13*02,TCRAJ13*02
6,TRAJ14*01,TRAJ14,TCRAJ14*01,TCRAJ14*01
7,TRAJ15*01,TRAJ15,TCRAJ15*01,TCRAJ15*01
8,TRAJ15*02,TRAJ15,TCRAJ15*02,TCRAJ15*02
9,TRAJ16*01,TRAJ16,TCRAJ16*01,TCRAJ16*01
10,TRAJ16*02,TRAJ16,TCRAJ16*02,TCRAJ16*02
11,TRAJ17*01,TRAJ17,TCRAJ17*01,TCRAJ17*01
12,TRAJ18*01,TRAJ18,TCRAJ18*01,TCRAJ18*01
13,TRAJ19*01,TRAJ19,TCRAJ19*01,TCRAJ19*01
14,TRAJ2*01,TRAJ2,TCRAJ02*01,TCRAJ02*01
15,TRAJ20*01,TRAJ20,TCRAJ20*01,TCRAJ20*01
16,TRAJ21*01,TRAJ21,TCRAJ21*01,TCRAJ21*01
17,TRAJ22*01,TRAJ22,TCRAJ22*01,TCRAJ22*01
18,TRAJ23*01,TRAJ23,TCRAJ23*01,TCRAJ23*01
19,TRAJ23*02,TRAJ23,TCRAJ23*02,TCRAJ23*02
20,TRAJ24*01,TRAJ24,TCRAJ24*01,TCRAJ24*01
21,TRAJ24*02,TRAJ24,TCRAJ24*02,TCRAJ24*02
22,TRAJ24*03,TRAJ24,TCRAJ24*03,TCRAJ24*03
23,TRAJ25*01,TRAJ25,TCRAJ25*01,TCRAJ25*01
24,TRAJ26*01,TRAJ26,TCRAJ26*01,TCRAJ26*01
25,TRAJ27*01,TRAJ27,TCRAJ27*01,TCRAJ27*01
26,TRAJ28*01,TRAJ28,TCRAJ28*01,TCRAJ28*01
27,TRAJ29*01,TRAJ29,TCRAJ29*01,TCRAJ29*01
